iter	Passed	Remaining
181	339	1524
182	340	1518
183	340	1512
184	341	1505
185	342	1499
186	343	1493
187	344	1489
188	346	1488
189	347	1482
190	348	1477
191	349	1471
192	350	1465
193	351	1459
194	352	1453
195	353	1448
196	353	1442
197	354	1437
198	355	1431
199	356	1426
200	357	1421
201	358	1417
202	360	1415
203	362	1412
204	363	1408
205	364	1403
206	365	1398
207	366	1393
208	367	1389
209	367	1384
210	368	1379
211	369	1374
212	370	1369
213	371	1364
214	372	1359
215	373	1355
216	376	1358
217	378	1355
218	379	1352
219	380	1348
220	381	1344
221	382	1341
222	384	1339
223	385	1336
224	386	1332
225	387	1328
226	390	1328
227	391	1325
228	392	1321
229	393	1316
230	394	1311
231	395	1307
232	395	1303
233	396	1298
234	397	1294
235	398	1289
236	399	1286
237	400	1281
238	401	1278
239	402	1274
240	403	1270
241	404	1267
242	406	1264
243	407	1261
244	407	1256
245	408	1252
246	409	1248
247	410	1244
248	411	1240
249	412	1237
250	413	1233
251	414	1229
252	414	1225
253	415	1221
254	416	1217
255	417	1213
256	418	1210
257	420	1209
258	421	1206
259	422	1202
260	423	1198
261	424	1194
262	425	1191
263	425	1187
264	426	1183
265	427	1180
266	428	1176
267	429	1173
268	430	1169
269	431	1166
270	432	1162
271	433	1159
272	434	1157
273	436	1155
274	436	1152
275	437	1148
276	438	1145
277	439	1141
278	440	1138
279	441	1134
280	442	1131
281	443	1128
282	444	1125
283	445	1121
284	445	1118
285	446	1115
286	447	1112
287	449	1110
288	450	1108
289	451	1106
290	452	1102
291	453	1099
292	454	1096
293	455	1093
294	456	1091
295	457	1087
296	458	1084
297	459	1081
298	460	1078
299	461	1075
300	461	1072
301	462	1070
302	464	1068
303	465	1066
304	466	1063
305	467	1060
306	468	1057
307	469	1054
308	470	1051
309	471	1048
310	472	1046
311	472	1042
312	473	1040
313	474	1037
314	475	1034
315	476	1031
316	477	1028
317	479	1027
318	480	1025
319	481	1022
320	482	1020
321	483	1017
322	483	1014
323	484	1011
324	485	1008
325	486	1006
326	487	1003
327	488	1000
328	489	997
329	490	995
330	491	992
331	491	989
332	493	987
333	494	986
334	496	984
335	497	982
336	497	979
337	498	977
338	499	974
339	500	972
340	501	969
341	502	966
342	503	964
343	504	961
344	505	959
345	506	956
346	507	954
347	508	952
348	509	950
349	510	948
350	511	946
351	512	944
352	513	942
353	514	939
354	515	937
355	516	934
356	517	932
357	518	929
358	519	927
359	520	924
360	521	922
361	522	920
362	523	919
363	525	918
364	526	916
365	528	914
366	529	912
367	530	910
368	531	908
369	532	906
370	533	903
371	534	901
372	535	899
373	536	897
374	537	895
375	539	895
376	540	893
377	541	891
378	542	889
379	543	887
380	544	884
381	545	882
382	546	880
383	547	878
384	548	876
385	549	874
386	550	871
387	551	869
388	552	868
389	554	867
390	556	866
391	557	864
392	557	861
393	558	859
394	559	857
395	560	854
396	561	852
397	562	850
398	563	848
399	563	845
400	564	843
401	565	841
402	566	839
403	568	838
404	570	837
405	571	835
406	571	833
407	572	831
408	573	828
409	574	826
410	575	824
411	576	822
412	577	820
413	578	818
414	579	816
415	579	814
416	580	812
417	581	810
418	583	809
419	584	807
420	585	805
421	586	803
422	587	801
423	588	799
424	589	797
425	590	795
426	591	793
427	592	791
428	592	789
429	593	787
430	594	785
431	595	783
432	596	781
433	598	780
434	600	779
435	601	777
436	602	775
437	602	773
438	603	771
439	604	769
440	605	767
441	606	765
442	607	763
443	608	761
444	609	759
445	609	757
446	610	755
447	611	753
448	613	752
449	614	751
450	615	749
451	616	747
452	617	745
453	618	743
454	619	741
455	620	739
456	620	737
457	621	735
458	622	734
459	623	732
460	624	730
461	625	728
462	626	726
463	627	725
464	629	724
465	630	722
466	631	720
467	632	718
468	633	716
469	634	715
470	634	713
471	635	711
472	636	709
473	637	707
474	638	705
475	639	703
